	category	context	id	location	location_subtype	location_type	month	outcome_status	persistent_id
74	anti-social-behaviour		66580987	{'latitude': '52.636721', 'street': {'id': 883359, 'name': 'On or near Haymarket'}, 'longitude': '-1.132898'}		Force	2018-07		
75	anti-social-behaviour		66574280	{'latitude': '52.626875', 'street': {'id': 882383, 'name': 'On or near Further/higher Educational Building'}, 'longitude': '-1.120476'}		Force	2018-07		
76	anti-social-behaviour		66573631	{'latitude': '52.634407', 'street': {'id': 883407, 'name': 'On or near Shopping Area'}, 'longitude': '-1.133653'}		Force	2018-07		
77	anti-social-behaviour		66581973	{'latitude': '52.637069', 'street': {'id': 883413, 'name': 'On or near Supermarket'}, 'longitude': '-1.131414'}		Force	2018-07		
78	anti-social-behaviour		66573628	{'latitude': '52.635598', 'street': {'id': 883314, 'name': 'On or near Yeoman Lane'}, 'longitude': '-1.129330'}		Force	2018-07		
79	anti-social-behaviour		66578302	{'latitude': '52.632073', 'street': {'id': 883364, 'name': 'On or near Granby Street'}, 'longitude': '-1.126829'}		Force	2018-07		
80	anti-social-behaviour		66578308	{'latitude': '52.636362', 'street': {'id': 883137, 'name': 'On or near Hartington Road'}, 'longitude': '-1.111168'}		Force	2018-07		
81	anti-social-behaviour		66578316	{'latitude': '52.633414', 'street': {'id': 876793, 'name': 'On or near Bishop Street'}, 'longitude': '-1.131841'}		Force	2018-07		
82	anti-social-behaviour		66578334	{'latitude': '52.631718', 'street': {'id': 883352, 'name': 'On or near London Road'}, 'longitude': '-1.126171'}		Force	2018-07		
83	anti-social-behaviour		66578340	{'latitude': '52.634324', 'street': {'id': 883326, 'name': 'On or near St Martins'}, 'longitude': '-1.135916'}		Force	2018-07		
84	anti-social-behaviour		66578578	{'latitude': '52.635767', 'street': {'id': 883291, 'name': 'On or near High Street'}, 'longitude': '-1.135267'}		Force	2018-07		
85	anti-social-behaviour		66578581	{'latitude': '52.627491', 'street': {'id': 883201, 'name': 'On or near Mill Hill Lane'}, 'longitude': '-1.118661'}		Force	2018-07		
86	anti-social-behaviour		66573961	{'latitude': '52.627414', 'street': {'id': 883418, 'name': 'On or near Jarrom Street'}, 'longitude': '-1.138800'}		Force	2018-07		
87	anti-social-behaviour		66573960	{'latitude': '52.638691', 'street': {'id': 883400, 'name': 'On or near Nightclub'}, 'longitude': '-1.131914'}		Force	2018-07		
88	anti-social-behaviour		66581213	{'latitude': '52.624424', 'street': {'id': 882275, 'name': 'On or near Stuart Street'}, 'longitude': '-1.150485'}		Force	2018-07		
89	anti-social-behaviour		66581206	{'latitude': '52.629348', 'street': {'id': 883343, 'name': 'On or near Museum Square'}, 'longitude': '-1.129040'}		Force	2018-07		
90	anti-social-behaviour		66581203	{'latitude': '52.636250', 'street': {'id': 883415, 'name': 'On or near Shopping Area'}, 'longitude': '-1.133691'}		Force	2018-07		
91	anti-social-behaviour		66581201	{'latitude': '52.636721', 'street': {'id': 883359, 'name': 'On or near Haymarket'}, 'longitude': '-1.132898'}		Force	2018-07		
92	anti-social-behaviour		66578048	{'latitude': '52.631380', 'street': {'id': 883322, 'name': 'On or near Upper Brown Street'}, 'longitude': '-1.135338'}		Force	2018-07		
93	anti-social-behaviour		66578050	{'latitude': '52.634474', 'street': {'id': 883498, 'name': 'On or near Kate Street'}, 'longitude': '-1.149197'}		Force	2018-07		
94	anti-social-behaviour		66578051	{'latitude': '52.637005', 'street': {'id': 883354, 'name': 'On or near Kildare Street'}, 'longitude': '-1.130026'}		Force	2018-07		
95	anti-social-behaviour		66578057	{'latitude': '52.632352', 'street': {'id': 883486, 'name': 'On or near Narborough Road North'}, 'longitude': '-1.146549'}		Force	2018-07		
96	anti-social-behaviour		66581188	{'latitude': '52.635434', 'street': {'id': 883399, 'name': 'On or near Conference/exhibition Centre'}, 'longitude': '-1.126658'}		Force	2018-07		
